DATE,CAPUTLG3361T3S
2009-05-01,35.5540
2009-06-01,34.5229
2009-07-01,45.0904
2009-08-01,46.9116
2009-09-01,52.2664
2009-10-01,52.0928
2009-11-01,54.1313
2009-12-01,54.8324
2010-01-01,56.0332
2010-02-01,54.0982
2010-03-01,55.6516
2010-04-01,55.5380
2010-05-01,59.9959
2010-06-01,59.5794
2010-07-01,63.7821
2010-08-01,60.9354
2010-09-01,61.7055
2010-10-01,62.3460
2010-11-01,59.9412
2010-12-01,59.5866
2011-01-01,60.9629
2011-02-01,63.5682
2011-03-01,65.7169
2011-04-01,60.4745
2011-05-01,61.4641
2011-06-01,61.4349
2011-07-01,63.4502
2011-08-01,64.7534
2011-09-01,64.9668
2011-10-01,67.9277
2011-11-01,66.2404
2011-12-01,67.7309
2012-01-01,71.1926
2012-02-01,70.2766
2012-03-01,69.7574
2012-04-01,70.7083
2012-05-01,69.6563
2012-06-01,70.4239
2012-07-01,69.9751
2012-08-01,68.1198
2012-09-01,67.0523
2012-10-01,67.7128
2012-11-01,69.2891
2012-12-01,71.5353
2013-01-01,69.2271
2013-02-01,70.3499
2013-03-01,71.1294
2013-04-01,70.4955
2013-05-01,70.7060
2013-06-01,71.7904
2013-07-01,67.7073
2013-08-01,71.4964
2013-09-01,72.7694
2013-10-01,71.7967
2013-11-01,73.3151
2013-12-01,73.2737
2014-01-01,68.8895
2014-02-01,74.0203
2014-03-01,74.5000
2014-04-01,73.9575
2014-05-01,76.2034
2014-06-01,76.3823
2014-07-01,80.9889
2014-08-01,76.9436
2014-09-01,75.7898
2014-10-01,75.2127
2014-11-01,79.0980
2014-12-01,78.1343
2015-01-01,78.1532
2015-02-01,75.2705
2015-03-01,78.5127
2015-04-01,79.0086
2015-05-01,81.7166
2015-06-01,78.0231
2015-07-01,85.2598
2015-08-01,80.4531
2015-09-01,80.0927
2015-10-01,80.5015
2015-11-01,78.8112
2015-12-01,77.5821
2016-01-01,80.1442
2016-02-01,79.2617
2016-03-01,77.7678
2016-04-01,78.6037
2016-05-01,76.7600
2016-06-01,79.7990
2016-07-01,81.8812
2016-08-01,80.1312
2016-09-01,80.0431
2016-10-01,80.5428
2016-11-01,79.2474
2016-12-01,79.4497
2017-01-01,79.5299
2017-02-01,79.3328
2017-03-01,76.5229
2017-04-01,79.3337
2017-05-01,78.4806
2017-06-01,77.4291
2017-07-01,74.8952
2017-08-01,75.8400
2017-09-01,76.3556
2017-10-01,77.1873
2017-11-01,76.7838
2017-12-01,76.6539
2018-01-01,77.2426
2018-02-01,79.2181
2018-03-01,80.5349
2018-04-01,79.2335
2018-05-01,73.5110
2018-06-01,77.9892
2018-07-01,76.4919
2018-08-01,78.6484
2018-09-01,80.0875
2018-10-01,78.4938
2018-11-01,78.9117
2018-12-01,82.0671
2019-01-01,76.1375
2019-02-01,77.3580
2019-03-01,76.3166
2019-04-01,74.9785
2019-05-01,76.7195
2019-06-01,78.7902
2019-07-01,79.4750
2019-08-01,78.4613
2019-09-01,73.8099
2019-10-01,69.6410
2019-11-01,78.0902
2019-12-01,74.1735
2020-01-01,75.8044
2020-02-01,78.2809
2020-03-01,55.4125
2020-04-01,12.8824
2020-05-01,27.1008
2020-06-01,61.1216
2020-07-01,80.0520
2020-08-01,77.2473
2020-09-01,74.7615
2020-10-01,73.8928
2020-11-01,77.8058
