DATE,IPG3361T3S
2012-08-01,98.1334
2012-09-01,96.9811
2012-10-01,98.3535
2012-11-01,101.0922
2012-12-01,104.8479
2013-01-01,101.9367
2013-02-01,104.0731
2013-03-01,105.7129
2013-04-01,105.2446
2013-05-01,106.0213
2013-06-01,108.0986
2013-07-01,102.3505
2013-08-01,108.4720
2013-09-01,110.7706
2013-10-01,109.6176
2013-11-01,112.2319
2013-12-01,112.4250
2014-01-01,105.9024
2014-02-01,113.9681
2014-03-01,114.8483
2014-04-01,114.1174
2014-05-01,117.6603
2014-06-01,117.9872
2014-07-01,125.1310
2014-08-01,118.8899
2014-09-01,117.1060
2014-10-01,116.2095
2014-11-01,122.2090
2014-12-01,120.7223
2015-01-01,120.7632
2015-02-01,116.3374
2015-03-01,121.3956
2015-04-01,122.2263
2015-05-01,126.5012
2015-06-01,120.8827
2015-07-01,132.2175
2015-08-01,124.8868
2015-09-01,124.4541
2015-10-01,125.2171
2015-11-01,122.7113
2015-12-01,120.9161
2016-01-01,125.0288
2016-02-01,123.7682
2016-03-01,121.5490
2016-04-01,122.9726
2016-05-01,120.2103
2016-06-01,125.1087
2016-07-01,128.5307
2016-08-01,125.9565
2016-09-01,126.0127
2016-10-01,127.0200
2016-11-01,125.2201
2016-12-01,125.8076
2017-01-01,126.2275
2017-02-01,126.2332
2017-03-01,122.0927
2017-04-01,126.9401
2017-05-01,125.9522
2017-06-01,124.6509
2017-07-01,120.9505
2017-08-01,122.8589
2017-09-01,124.0717
2017-10-01,125.7913
2017-11-01,125.4809
2017-12-01,125.5909
2018-01-01,126.8523
2018-02-01,130.3674
2018-03-01,132.7753
2018-04-01,130.8323
2018-05-01,121.5414
2018-06-01,129.0845
2018-07-01,126.7150
2018-08-01,130.3772
2018-09-01,132.8362
2018-10-01,130.2518
2018-11-01,130.9946
2018-12-01,136.2771
2019-01-01,126.4918
2019-02-01,128.5501
2019-03-01,126.8630
2019-04-01,124.6958
2019-05-01,127.6528
2019-06-01,131.1653
2019-07-01,132.3760
2019-08-01,130.7632
2019-09-01,123.0871
2019-10-01,116.2105
2019-11-01,130.3972
2019-12-01,123.9420
2020-01-01,126.6952
2020-02-01,130.8938
2020-03-01,92.6904
2020-04-01,21.5552
2020-05-01,45.3579
2020-06-01,102.3227
2020-07-01,134.0358
2020-08-01,129.0061
2020-09-01,125.2548
2020-10-01,124.3448
2020-11-01,130.5493
2020-12-01,128.4546
